Time,Extension,Load
(sec),(mm),(N)
44.70000,-5.14852,-21.53811
44.80000,-5.15865,-21.59116
44.90000,-5.16879,-21.64724
45.00000,-5.17852,-21.69111
45.10000,-5.18865,-21.74700
45.20000,-5.19879,-21.79029
45.30000,-5.20865,-21.83942
45.40000,-5.21865,-21.88843
45.50000,-5.22879,-21.93156
45.60000,-5.23879,-21.97630
45.70000,-5.24879,-22.03283
45.80000,-5.25892,-22.07430
45.90000,-5.26879,-22.12629
46.00000,-5.27852,-22.16190
46.10000,-5.28892,-22.21093
46.20000,-5.29852,-22.25715
46.30000,-5.30852,-22.31247
46.40000,-5.31865,-22.36444
46.50000,-5.32839,-22.40983
46.60000,-5.33892,-22.45102
46.70000,-5.34892,-22.50856
46.80000,-5.35865,-22.54215
46.90000,-5.36879,-22.59762
47.00000,-5.37879,-22.64369
47.10000,-5.38879,-22.68499
47.20000,-5.39879,-22.72983
47.30000,-5.40892,-22.78043
47.40000,-5.41865,-22.82231
47.50000,-5.42852,-22.86142
47.60000,-5.43892,-22.90836
47.70000,-5.44852,-22.95251
47.80000,-5.45865,-22.99331
47.90000,-5.46892,-23.05106
48.00000,-5.47865,-23.08685
48.10000,-5.48879,-23.12900
48.20000,-5.49879,-23.17341
48.30000,-5.50865,-23.22125
48.40000,-5.51892,-23.26802
48.50000,-5.52879,-23.30804
48.60000,-5.53879,-23.34572
48.70000,-5.54879,-23.39604
48.80000,-5.55852,-23.43183
48.90000,-5.56879,-23.48009
49.00000,-5.57865,-23.52070
49.10000,-5.58865,-23.56226
49.20000,-5.59865,-23.61136
49.30000,-5.60852,-23.65507
49.40000,-5.61865,-23.69716
49.50000,-5.62839,-23.74543
49.60000,-5.63879,-23.76986
49.70000,-5.64879,-23.83899
49.80000,-5.65865,-23.86104
49.90000,-5.66905,-23.91557
50.00000,-5.67865,-23.95281
50.10000,-5.68852,-23.98453
50.20000,-5.69879,-24.04041
50.30000,-5.70839,-24.08420
50.40000,-5.71865,-24.12296
50.50000,-5.72879,-24.16797
50.60000,-5.73865,-24.19553
50.70000,-5.74865,-24.25116
50.80000,-5.75865,-24.28530
50.90000,-5.76865,-24.33303
51.00000,-5.77879,-24.37601
51.10000,-5.78892,-24.41259
51.20000,-5.79879,-24.45687
51.30000,-5.80865,-24.50333
51.40000,-5.81892,-24.54906
51.50000,-5.82879,-24.58786
51.60000,-5.83852,-24.62243
51.70000,-5.84892,-24.68058
51.80000,-5.85852,-24.71335
51.90000,-5.86852,-24.75975
52.00000,-5.87892,-24.80335
52.10000,-5.88852,-24.83855
52.20000,-5.89879,-24.88339
52.30000,-5.90892,-24.93633
52.40000,-5.91865,-24.96796
52.50000,-5.92865,-25.00923
52.60000,-5.93879,-25.05495
52.70000,-5.94892,-25.10668
52.80000,-5.95865,-25.13181
52.90000,-5.96892,-25.17380
53.00000,-5.97852,-25.20812
53.10000,-5.98839,-25.25033
53.20000,-5.99892,-25.30987
53.30000,-6.00852,-25.34978
53.40000,-6.01879,-25.39271
53.50000,-6.02892,-25.44824
53.60000,-6.03852,-25.48192
53.70000,-6.04879,-25.52932
53.80000,-6.05892,-25.57471
53.90000,-6.06865,-25.61222
54.00000,-6.07879,-25.65746
54.10000,-6.08865,-25.70155
54.20000,-6.09852,-25.73575
